WKT,Name,Description,Latitude,Longitude,Group,주요_항공사
POINT (140.6908 40.7347),아오모리(AOJ),대한항공(일) / 델타항공(일) / 일본항공(일),40.7347,140.6908,도호쿠,다수 항공사
POINT (141.6923 42.7752),삿포로(신치토세)(CTS),KLM네덜란드항공(매일) / 대한항공(매일) / 델타항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 에어 프랑스(매일) / 에티오피아항공(매일) / 이스타항공(매일) / 일본항공(매일) / 전일본공수(매일) / 제주항공(매일) / 진에어(매일) / 티웨이항공(매일),42.7752,141.6923,홋카이도,다수 항공사
POINT (138.1797 34.7961),시즈오카(후지산)(FSZ),제주항공(매일),34.7961,138.1797,주부,제주항공
POINT (130.4507 33.5859),후쿠오카(FUK),KLM네덜란드항공(매일) / 대한항공(매일) / 델타항공(매일) / 몽골항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 에어 프랑스(매일) / 에어부산(매일) / 에어서울(매일) / 에어캐나다(매일) / 에티오피아항공(매일) / 에티하드 항공(매일) / 이스타항공(매일) / 일본항공(매일) / 전일본공수(매일) / 제주항공(매일) / 진에어(매일) / 터키항공(매일) / 티웨이항공(매일),33.5859,130.4507,규슈,다수 항공사
POINT (132.9194 34.4361),히로시마(HIJ),제주항공(매일),34.4361,132.9194,주고쿠,제주항공
POINT (140.822 41.77),하코다테(HKD),제주항공(일),41.77,140.822,홋카이도,제주항공
POINT (139.7798 35.5494),도쿄(하네다)(HND),대한항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 에어 프랑스(매일) / 일본항공(매일) / 전일본공수(매일) / 피치항공(매일),35.5494,139.7798,간토,다수 항공사
POINT (130.3022 33.1497),사가(HSG),티웨이항공(일),33.1497,130.3022,규슈,티웨이항공
POINT (124.1864 24.3964),이시가키(ISG),진에어(일),24.3964,124.1864,오키나와,진에어
POINT (135.2304 34.432),오사카(간사이)(KIX),대한항공(매일) / 델타항공(매일) / 몽골항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 에어 프랑스(매일) / 에어로케이항공(매일) / 에어부산(매일) / 에어서울(매일) / 에어캐나다(매일) / 에티오피아항공(매일) / 에티하드 항공(매일) / 이스타항공(매일) / 일본항공(매일) / 전일본공수(매일) / 제주항공(매일) / 진에어(매일) / 티웨이항공(매일) / 파라타항공(매일) / 피치항공(매일),34.432,135.2304,관서,다수 항공사
POINT (131.035 33.8458),기타큐슈(KKJ),대한항공(매일) / 진에어(매일),33.8458,131.035,규슈,"진에어, 대한항공"
POINT (131.4486 31.8772),미야자키(KMI),아시아나항공(일) / 에어캐나다(일) / 에티하드 항공(일) / 전일본공수(일),31.8772,131.4486,규슈,다수 항공사
POINT (130.855 32.8372),구마모토(KMJ),대한항공(매일) / 델타항공(매일) / 티웨이항공(매일),32.8372,130.855,규슈,다수 항공사
POINT (136.4075 36.3938),고마쓰(KMQ),대한항공(일) / 델타항공(일) / 일본항공(일),36.3938,136.4075,주부,다수 항공사
POINT (130.7194 31.8039),가고시마(KOJ),대한항공(매일) / 델타항공(매일) / 일본항공(매일),31.8039,130.7194,규슈,다수 항공사
POINT (132.6997 33.8272),마쓰야마(MYJ),제주항공(매일),33.8272,132.6997,시코쿠,제주항공
POINT (136.8048 34.8584),나고야(주부)(NGO),KLM네덜란드항공(매일) / 대한항공(매일) / 델타항공(매일) / 몽골항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 에어 프랑스(매일) / 에티하드 항공(매일) / 일본항공(매일) / 전일본공수(매일) / 제주항공(매일) / 진에어(매일) / 터키항공(매일),34.8584,136.8048,주부,다수 항공사
POINT (140.3929 35.7719),도쿄(나리타)(NRT),"대한항공(매일) / 델타항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 아에로멕시코(매일) / 에어 뉴질랜드(매일) / 에어 타히티 누이(매일) / 에어 프랑스(매일) / 에어부산(매일) / 에어서울(매일) / 에어프레미아(매일) / 에티오피아항공(월,수,목,금,토,일) / 에티하드 항공(매일) / 유나이티드항공(매일) / 이스타항공(매일) / 일본항공(매일) / 전일본공수(매일) / 제주항공(매일) / 진에어(매일) / 집에어(매일) / 티웨이항공(매일) / 파라타항공(매일)",35.7719,140.3929,간토,다수 항공사
POINT (127.6458 26.1958),오키나와(나하)(OKA),KLM네덜란드항공(매일) / 대한항공(매일) / 델타항공(매일) / 버진 애틀랜틱 항공(매일) / 아시아나항공(매일) / 이스타항공(매일) / 일본항공(매일) / 전일본공수(매일) / 제주항공(매일) / 진에어(매일) / 티웨이항공(매일),26.1958,127.6458,오키나와,다수 항공사
POINT (133.855 34.7569),오카야마(OKJ),대한항공(일) / 델타항공(일) / 버진 애틀랜틱 항공(일) / 일본항공(일),34.7569,133.855,주고쿠,다수 항공사
POINT (140.9169 38.1397),센다이(SDJ),아시아나항공(매일) / 전일본공수(매일),38.1397,140.9169,도호쿠,"아시아나항공, 전일본공수"
POINT (125.1447 24.8267),미야코지마(시모지시마)(SHI),대한항공(일) / 진에어(일),24.8267,125.1447,오키나와,"진에어, 대한항공"
POINT (134.0156 34.2141),다카마쓰(TAK),에어서울(매일) / 진에어(매일),34.2141,134.0156,시코쿠,"에어서울, 진에어"
POINT (137.1875 36.6483),도야마(TOY),진에어(일),36.6483,137.1875,주부,진에어
POINT (135.2237 34.6329),고베(UKB),대한항공(일) / 아시아나항공(일),34.6329,135.2237,관서,"대한항공, 아시아나항공"
POINT (133.2635 35.4963),요나고(YGJ),"에어서울(월,수,목,금,일)",35.4963,133.2635,주고쿠,에어서울
